STATION;DATE;LATITUDE;LONGITUDE;ELEVATION;NAME;TEMP;TEMP_ATTRIBUTES;DEWP;DEWP_ATTRIBUTES;SLP;SLP_ATTRIBUTES;STP;STP_ATTRIBUTES;VISIB;VISIB_ATTRIBUTES;WDSP;WDSP_ATTRIBUTES;MXSPD;GUST;MAX;MAX_ATTRIBUTES;MIN;MIN_ATTRIBUTES;PRCP;PRCP_ATTRIBUTES;SNDP;FRSHTT
31960099999;09.03.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;19,9;4;14,8;4;1013,6;4;989,5;4;4,3;4;27,7;4;33;50,5;21,7;*;16,5; ;0,12;E;999,9;1000
31960099999;30.03.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;36,9;4;9999,9;0;1012,3;4;989,1;4;0,1;4;13,1;4;17,5;25,3;38,1;*;34,2; ;0,02;E;999,9;100000
31960099999;07.04.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;30;4;14,6;4;1027,2;4;3,2;4;17,1;4;2,9;4;7,8;999,9;34,5;*;27,3; ;0;I;999,9;0
31960099999;02.05.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;47,4;4;9999,9;0;1009,8;4;987,1;4;1,6;4;7,8;4;13,6;23,3;48,9;*;44,8; ;99,99; ;999,9;110000
31960099999;16.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;62,8;4;9999,9;0;1005,8;4;983,9;4;9,4;4;9,2;4;9,7;999,9;77,2;*;53,1; ;0;I;999,9;100000
31960099999;17.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;53,8;7;53,5;6;1009,8;7;987,4;7;1,9;7;13,9;7;15,5;21,4;59,5;*;50,7; ;0;I;999,9;100000
31960099999;18.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;56,6;8;55,1;8;1013,1;8;990,8;8;9,3;8;4,6;8;7,8;999,9;58,5;*;53,2;*;0,01;E;999,9;110000
31960099999;19.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;60,1;8;56,8;7;1010,7;8;988,5;8;9,4;8;8,7;8;13,6;999,9;70,5;*;52,2; ;0;I;999,9;100000
31960099999;20.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;56,6;8;55,2;8;1010,2;8;988;8;3,2;8;10,2;8;13,6;999,9;64,2;*;53,8; ;0;I;999,9;100000
31960099999;21.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;57,2;5;9999,9;0;1009,1;5;986,9;5;0,1;5;12,8;5;13,6;19,4;57,9;*;55,6; ;99,99; ;999,9;110000
31960099999;22.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;56,1;8;9999,9;0;1011,3;8;989,1;8;0,1;8;17,7;8;21,4;25,3;59,7;*;52,7; ;0,12;F;999,9;110000
31960099999;25.06.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;60,8;8;9999,9;0;1006;8;984,1;8;2,4;8;11,4;8;13,6;19,4;64,8;*;58,8; ;0;I;999,9;100000
31960099999;01.07.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;59;4;54,9;4;993,3;4;971,6;4;21,7;4;9,2;4;17,5;27,2;62,6;*;55,9; ;0,01;E;999,9;0
31960099999;15.07.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;61,6;4;52,6;4;1013,7;4;991,6;4;31,1;4;8,7;4;13,6;23,3;65,1;*;52,9; ;0;I;999,9;0
31960099999;22.07.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;65,3;4;9999,9;0;1006,6;4;984,8;4;7,9;4;7,8;4;13,6;999,9;68,9;*;63,1; ;99,99; ;999,9;110000
31960099999;01.08.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;72,3;4;62,1;4;1010,4;4;988,8;4;21,7;4;4,9;4;5,8;999,9;78,3;*;66,7; ;0;I;999,9;0
31960099999;03.08.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;69,3;5;9999,9;0;1002,5;5;981;5;0,1;5;18,6;5;21,4;29,1;69,4;*;68,9; ;0,31;F;999,9;100000
31960099999;04.08.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;69,8;8;9999,9;0;1001,2;8;979,8;8;0,1;8;10;8;15,5;19,4;71,4;*;68,7; ;0,08;F;999,9;110000
31960099999;05.08.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;76,6;8;66,7;8;1005,9;8;984,6;8;19,4;8;9;8;9,7;999,9;83,5;*;68,7; ;0;E;999,9;0
31960099999;06.08.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;74,4;8;67;8;1013;8;991,4;8;18,7;8;11,4;8;17,5;19,4;84,2;*;67,6; ;0;E;999,9;100000
31960099999;07.08.2015;43,1166666;131,9333333;183;VLADIVOSTOK, RS;68;8;67,4;7;1017;8;995,2;8;4;8;16;8;17,5;21,4;68,4;*;66,9;*;0;I;999,9;100000
